year_film,year_ceremony,ceremony,category,name,film,winner
2018,2019,91,ACTOR,Christian Bale,Vice,False
2018,2019,91,ACTOR,Bradley Cooper,A Star Is Born,False
2018,2019,91,ACTOR,Willem Dafoe,At Eternity's Gate,False
2018,2019,91,ACTOR,Rami Malek,Bohemian Rhapsody,True
2018,2019,91,ACTOR,Viggo Mortensen,Green Book,False
2018,2019,91,SUPPORTING ACTOR,Mahershala Ali,Green Book,True
2018,2019,91,SUPPORTING ACTOR,Adam Driver,BlacKkKlansman,False
2018,2019,91,SUPPORTING ACTOR,Sam Elliott,A Star Is Born,False
2018,2019,91,SUPPORTING ACTOR,Richard E. Grant,Can You Ever Forgive Me?,False
2018,2019,91,SUPPORTING ACTOR,Sam Rockwell,Vice,False
2018,2019,91,ACTRESS,Yalitza Aparicio,Roma,False
2018,2019,91,ACTRESS,Glenn Close,The Wife,False
2018,2019,91,ACTRESS,Olivia Colman,The Favourite,True
2018,2019,91,ACTRESS,Lady Gaga,A Star Is Born,False
2018,2019,91,ACTRESS,Melissa McCarthy,Can You Ever Forgive Me?,False
2018,2019,91,SUPPORTING ACTRESS,Amy Adams,Vice,False
2018,2019,91,SUPPORTING ACTRESS,Marina de Tavira,Roma,False
2018,2019,91,SUPPORTING ACTRESS,Regina King,If Beale Street Could Talk,True
2018,2019,91,SUPPORTING ACTRESS,Emma Stone,The Favourite,False
2018,2019,91,SUPPORTING ACTRESS,Rachel Weisz,The Favourite,False
2018,2019,91,ANIMATED FEATURE FILM,"Brad Bird, John Walker and Nicole Paradis Grindle",Incredibles 2,False
2018,2019,91,ANIMATED FEATURE FILM,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson",Isle of Dogs,False
2018,2019,91,ANIMATED FEATURE FILM,Mamoru Hosoda and Yuichiro Saito,Mirai,False
2018,2019,91,ANIMATED FEATURE FILM,"Rich Moore, Phil Johnston and Clark Spencer",Ralph Breaks the Internet,False
2018,2019,91,ANIMATED FEATURE FILM,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller",Spider-Man: Into the Spider-Verse,True
2018,2019,91,CINEMATOGRAPHY,Lukasz Zal,Cold War,False
2018,2019,91,CINEMATOGRAPHY,Robbie Ryan,The Favourite,False
2018,2019,91,CINEMATOGRAPHY,Caleb Deschanel,Never Look Away,False
2018,2019,91,CINEMATOGRAPHY,Alfonso Cuarón,Roma,True
2018,2019,91,CINEMATOGRAPHY,Matthew Libatique,A Star Is Born,False
2018,2019,91,COSTUME DESIGN,Mary Zophres,The Ballad of Buster Scruggs,False
2018,2019,91,COSTUME DESIGN,Ruth Carter,Black Panther,True
2018,2019,91,COSTUME DESIGN,Sandy Powell,The Favourite,False
2018,2019,91,COSTUME DESIGN,Sandy Powell,Mary Poppins Returns,False
2018,2019,91,COSTUME DESIGN,Alexandra Byrne,Mary Queen of Scots,False
2018,2019,91,DIRECTING,Spike Lee,BlacKkKlansman,False
2018,2019,91,DIRECTING,Pawel Pawlikowski,Cold War,False
2018,2019,91,DIRECTING,Yorgos Lanthimos,The Favourite,False
2018,2019,91,DIRECTING,Alfonso Cuarón,Roma,True
2018,2019,91,DIRECTING,Adam McKay,Vice,False
2018,2019,91,DOCUMENTARY FEATURE,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill",Free Solo,True
2018,2019,91,DOCUMENTARY FEATURE,"RaMell Ross, Joslyn Barnes and Su Kim","Hale County This Morning, This Evening",False
2018,2019,91,DOCUMENTARY FEATURE,Bing Liu and Diane Quon,Minding the Gap,False
2018,2019,91,DOCUMENTARY FEATURE,"Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert",Of Fathers and Sons,False
2018,2019,91,DOCUMENTARY FEATURE,Betsy West and Julie Cohen,RBG,False
2018,2019,91,DOCUMENTARY SHORT,Ed Perkins and Jonathan Chinn,Black Sheep,False
2018,2019,91,DOCUMENTARY SHORT,Rob Epstein and Jeffrey Friedman,End Game,False
2018,2019,91,DOCUMENTARY SHORT,Skye Fitzgerald and Bryn Mooser,Lifeboat,False
2018,2019,91,DOCUMENTARY SHORT,Marshall Curry,A Night at The Garden,False
2018,2019,91,DOCUMENTARY SHORT,Rayka Zehtabchi and Melissa Berton,Period. End of Sentence.,True
2018,2019,91,FILM EDITING,Barry Alexander Brown,BlacKkKlansman,False
2018,2019,91,FILM EDITING,John Ottman,Bohemian Rhapsody,True
2018,2019,91,FILM EDITING,Yorgos Mavropsaridis,The Favourite,False
2018,2019,91,FILM EDITING,Patrick J. Don Vito,Green Book,False
2018,2019,91,FILM EDITING,Hank Corwin,Vice,False
2018,2019,91,FOREIGN LANGUAGE FILM,Lebanon,Capernaum,False
2018,2019,91,FOREIGN LANGUAGE FILM,Poland,Cold War,False
2018,2019,91,FOREIGN LANGUAGE FILM,Germany,Never Look Away,False
2018,2019,91,FOREIGN LANGUAGE FILM,Mexico,Roma,True
2018,2019,91,FOREIGN LANGUAGE FILM,Japan,Shoplifters,False
2018,2019,91,MAKEUP AND HAIRSTYLING,Göran Lundström and Pamela Goldammer,Border,False
2018,2019,91,MAKEUP AND HAIRSTYLING,"Jenny Shircore, Marc Pilcher and Jessica Brooks",Mary Queen of Scots,False
2018,2019,91,MAKEUP AND HAIRSTYLING,"Greg Cannom, Kate Biscoe and Patricia Dehaney",Vice,True
2018,2019,91,MUSIC (Original Score),Ludwig Goransson,Black Panther,True
2018,2019,91,MUSIC (Original Score),Terence Blanchard,BlacKkKlansman,False
2018,2019,91,MUSIC (Original Score),Nicholas Britell,If Beale Street Could Talk,False
2018,2019,91,MUSIC (Original Score),Alexandre Desplat,Isle of Dogs,False
2018,2019,91,MUSIC (Original Score),Marc Shaiman,Mary Poppins Returns,False
2018,2019,91,MUSIC (Original Song),"Music by Kendrick Lamar, Mark ""Sounwave"" Spears and Anthony ""Top Dawg"" Tiffith; Lyric by Kendrick Lamar, SZA and Anthony ""Top Dawg"" Tiffith",Black Panther,False
2018,2019,91,MUSIC (Original Song),Music and Lyric by Diane Warren,RBG,False
2018,2019,91,MUSIC (Original Song),Music by Marc Shaiman; Lyric by Scott Wittman and Marc Shaiman,Mary Poppins Returns,False
2018,2019,91,MUSIC (Original Song),"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",A Star Is Born,True
2018,2019,91,MUSIC (Original Song),Music and Lyric by Gillian Welch and David Rawlings,The Ballad of Buster Scruggs,False
2018,2019,91,BEST PICTURE,"Kevin Feige, Producer",Black Panther,False
